[2025-09-24 20:02:53,768] [INFO] Finisher cog initialized
[2025-09-24 20:02:57,763] [INFO] Finisher cog initialized
[2025-09-24 20:02:57,768] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp064oy_0h\manga_scan_test.json
[2025-09-24 20:02:57,773] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp064oy_0h\manga_scan_test.json
[2025-09-24 20:04:47,874] [INFO] Finisher cog initialized
[2025-09-24 20:04:47,879] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp3x183ksl\manga_scan_test.json
[2025-09-24 20:04:47,881] [INFO] Saved configured channel 5555 for guild 9999 to C:\Users\benet\AppData\Local\Temp\tmp3x183ksl\manga_channel_test.json
[2025-09-24 20:04:47,882] [INFO] Loaded configured channel 5555 for guild 9999
[2025-09-24 20:04:47,884] [INFO] Posting updates to channel dummy
[2025-09-24 20:04:47,884] [INFO] Found 1 new manga updates after filtering
[2025-09-24 20:04:47,884] [INFO] Posting update for manga id=123 title=Big Manga status=FINISHED
[2025-09-24 20:04:47,885] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmp3x183ksl\manga_scan_test.json
[2025-09-24 20:04:47,885] [INFO] Post updates complete and state saved
[2025-09-24 20:08:34,532] [INFO] Finisher cog initialized
[2025-09-24 20:08:34,537] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmpcyu17mzj\manga_scan_test.json
[2025-09-24 20:08:34,539] [INFO] Saved configured channel 5555 for guild 9999 to C:\Users\benet\AppData\Local\Temp\tmpcyu17mzj\manga_channel_test.json
[2025-09-24 20:08:34,540] [INFO] Loaded configured channel 5555 for guild 9999
[2025-09-24 20:08:34,540] [INFO] Posting updates to channel dummy
[2025-09-24 20:08:34,541] [INFO] Found 1 new manga updates after filtering
[2025-09-24 20:08:34,541] [INFO] Posting update for manga id=123 title=Big Manga status=FINISHED
[2025-09-24 20:08:34,542] [INFO] Saved 2 current manga ids to C:\Users\benet\AppData\Local\Temp\tmpcyu17mzj\manga_scan_test.json
[2025-09-24 20:08:34,542] [INFO] Post updates complete and state saved
[2025-09-24 20:09:50,251] [INFO] Finisher cog initialized
[2025-09-24 20:10:13,560] [INFO] /set_manga_channel invoked by kyerstorm in guild 897814031346319382 -> channel 1420448966423609407
[2025-09-24 20:10:13,905] [INFO] Saved configured channel 1420448966423609407 for guild 897814031346319382 to data/manga_channel.json
[2025-09-24 20:10:13,906] [INFO] Configured manga updates for guild 897814031346319382 -> channel 1420448966423609407
[2025-09-24 20:10:28,538] [INFO] Fetching manga list from AniList
[2025-09-24 20:10:28,854] [INFO] AniList returned 25 media entries
[2025-09-24 20:10:31,394] [INFO] Loaded configured channel 1420448966423609407 for guild 897814031346319382
[2025-09-24 20:10:31,394] [INFO] Posting updates to channel embed
[2025-09-24 20:10:31,395] [INFO] Fetching manga list from AniList
[2025-09-24 20:10:31,707] [INFO] AniList returned 25 media entries
[2025-09-24 20:10:31,708] [INFO] Found 4 new manga updates after filtering
[2025-09-24 20:10:31,708] [INFO] Posting update for manga id=175186 title=Three's a (Nice) Crowd status=FINISHED
[2025-09-24 20:10:31,949] [INFO] Posting update for manga id=186672 title=Heated Exchange status=FINISHED
[2025-09-24 20:10:32,379] [INFO] Posting update for manga id=181287 title=The Sacred Serpent's Seduction status=FINISHED
[2025-09-24 20:10:32,603] [INFO] Posting update for manga id=180997 title=How Far Can We Go? status=FINISHED
[2025-09-24 20:10:32,820] [INFO] Saved 25 current manga ids to data/manga_scan.json
[2025-09-24 20:10:32,820] [INFO] Post updates complete and state saved
[2025-09-24 20:17:49,916] [INFO] Finisher cog initialized
[2025-09-24 20:18:52,651] [INFO] Finisher cog initialized
[2025-09-24 20:19:00,516] [INFO] Fetching manga list from AniList
[2025-09-24 20:19:00,872] [INFO] AniList returned 25 media entries
[2025-09-24 20:19:01,673] [INFO] Loaded configured channel 1420448966423609407 for guild 897814031346319382
[2025-09-24 20:19:01,673] [INFO] Posting updates to channel embed
[2025-09-24 20:19:01,674] [INFO] Fetching manga list from AniList
